Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1723064504,10,POST,post_users for Ken,0.600000,0.000000,230,230,230,230,230,230,230,230,230,230,230,15,0,230.0,232.258156400106,214.54427000207943,319.637092998164,76.93333333333334
1723064504,10,POST,post_users for Sarah,0.300000,0.000000,230,230,230,230,230,230,230,230,230,230,230,9,0,220.0,224.2223211117865,215.59916800106294,233.91378200176405,79.0
1723064504,10,,Aggregated,2.900000,0.000000,220,230,230,230,240,280,290,290,290,290,290,70,0,97,136.77270075734538,23.166406001109863,319.637092998164,567.4857142857143
1723064505,10,GET,get_users,1.400000,0.000000,26,27,29,29,31,31,31,31,31,31,31,39,0,27,43.47363051298695,23.166406001109863,179.00193400055286,1030.0
1723064505,10,POST,post_users for John,0.600000,0.000000,240,280,280,290,290,290,290,290,290,290,290,10,0,230.0,245.6265187000099,215.544865000993,286.7213030003768,77.9
1723064505,10,POST,post_users for Ken,0.600000,0.000000,230,230,230,230,230,230,230,230,230,230,230,15,0,230.0,232.258156400106,214.54427000207943,319.637092998164,76.93333333333334
1723064505,10,POST,post_users for Sarah,0.300000,0.000000,220,220,230,230,230,230,230,230,230,230,230,10,0,220.0,224.23195390038018,215.59916800106294,233.91378200176405,79.0
1723064505,10,,Aggregated,2.900000,0.000000,220,230,230,230,240,280,290,290,290,290,290,74,0,91,133.48552245962136,23.166406001109863,319.637092998164,579.6351351351351
1723064506,10,GET,get_users,1.300000,0.000000,26,29,30,31,32,32,32,32,32,32,32,42,0,27,42.49901359547775,23.166406001109863,179.00193400055286,1030.0
1723064506,10,POST,post_users for John,0.700000,0.000000,230,230,240,240,240,240,240,240,240,240,240,10,0,230.0,245.6265187000099,215.544865000993,286.7213030003768,77.9
1723064506,10,POST,post_users for Ken,0.800000,0.000000,230,230,230,230,230,230,230,230,230,230,230,15,0,230.0,232.258156400106,214.54427000207943,319.637092998164,76.93333333333334
1723064506,10,POST,post_users for Sarah,0.300000,0.000000,220,220,230,230,230,230,230,230,230,230,230,10,0,220.0,224.23195390038018,215.59916800106294,233.91378200176405,79.0
1723064506,10,,Aggregated,3.100000,0.000000,32,230,230,230,230,230,240,240,240,240,240,77,0,91,129.44695640279943,23.166406001109863,319.637092998164,597.1818181818181
1723064507,10,GET,get_users,1.600000,0.000000,25,28,29,30,32,32,32,32,32,32,32,45,0,27,41.368889333696444,23.109495003154734,179.00193400055286,1030.0
1723064507,10,POST,post_users for John,0.600000,0.000000,230,230,240,240,240,240,240,240,240,240,240,10,0,230.0,245.6265187000099,215.544865000993,286.7213030003768,77.9
1723064507,10,POST,post_users for Ken,0.800000,0.000000,230,230,230,230,290,290,290,290,290,290,290,16,0,230.0,236.0449723748843,214.54427000207943,319.637092998164,76.9375
1723064507,10,POST,post_users for Sarah,0.400000,0.000000,220,220,230,230,230,230,230,230,230,230,230,11,0,220.0,223.73606600012863,215.59916800106294,233.91378200176405,79.0
1723064507,10,,Aggregated,3.400000,0.000000,32,220,230,230,230,240,290,290,290,290,290,82,0,87,128.72782306117077,23.109495003154734,319.637092998164,600.3536585365854
